model_name,provider,family,release_date,availability,architecture,training_paradigm,parameter_count_B,MMLU_PRO,IFEval,BBH,GPQA,MATH_Lvl_5,MuSR,chatbot_arena_elo,arena_votes,output_tokens_per_second,time_to_first_token_s,source_url,source_note,benchmark_observed,arena_observed,hardware_observed
Gemini 1.5 Pro,Google,Gemini,2024-02-15,API/闭源,ClosedAPI,原生预训练,,70.5,86.8,77.4,55.2,58.8,59.5,1392.0,1600000,39.0,0.63,https://blog.google/technology/ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
Claude 3 Opus,Anthropic,Claude,2024-03-04,API/闭源,ClosedAPI,原生预训练,,70.6,86.8,77.6,53.9,57.1,59.3,1395.0,910000,32.0,0.84,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
Claude 3 Sonnet,Anthropic,Claude,2024-03-04,API/闭源,ClosedAPI,原生预训练,,64.8,83.1,72.7,45.4,48.2,52.1,1326.0,770000,58.0,0.42,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
Command R,Cohere,Command,2024-03-11,API/闭源,CommandRForCausalLM,原生预训练,35.0,57.5,78.6,67.9,37.1,39.6,46.9,1302.0,240000,26.0,0.82,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
Claude 3 Haiku,Anthropic,Claude,2024-03-13,API/闭源,ClosedAPI,原生预训练,,58.2,79.4,68.5,37.2,39.8,46.5,1265.0,620000,96.0,0.27,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
Kimi Chat,Moonshot AI,Kimi,2024-03-18,API/闭源,ClosedAPI,长上下文,,63.0,83.0,72.5,44.0,47.6,54.0,1342.0,410000,35.0,0.73,https://www.moonshot.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
Command R+,Cohere,Command,2024-04-04,API/闭源,CommandRForCausalLM,原生预训练,104.0,63.5,82.1,72.0,45.6,49.5,52.8,1355.0,270000,18.0,1.1,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
Mixtral 8x22B,Mistral AI,Mistral,2024-04-17,开放权重,MixtralForCausalLM,MoE/模型融合,141.0,62.5,82.5,71.8,43.3,47.7,52.9,,190000,12.5,1.96,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True
Llama 3 70B,Meta,Llama,2024-04-18,开放权重,LlamaForCausalLM,指令微调,70.0,60.6,80.5,70.4,40.6,43.5,49.4,1322.0,760000,19.0,1.42,https://ai.meta.com/blog/meta-llama-3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
Llama 3 8B,Meta,Llama,2024-04-18,开放权重,LlamaForCausalLM,指令微调,8.0,49.8,72.8,61.2,30.4,28.8,39.5,1225.0,520000,64.0,0.55,https://ai.meta.com/blog/meta-llama-3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
DeepSeek V2,DeepSeek,DeepSeek,2024-05-07,开放权重,DeepseekForCausalLM,MoE/模型融合,236.0,67.8,84.1,74.5,49.1,55.8,56.6,1388.0,410000,10.2,2.3,https://www.deepseek.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
DeepSeek V2 Lite,DeepSeek,DeepSeek,2024-05-07,开放权重,DeepseekForCausalLM,MoE/模型融合,16.0,55.2,77.3,66.4,37.9,42.6,46.1,1287.0,280000,49.5,0.69,https://www.deepseek.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True
Yi-1.5-34B-Chat,01.AI,Yi,2024-05-13,开放权重,LlamaForCausalLM,指令微调,34.0,55.8,78.4,67.0,37.6,41.0,45.8,,100000,29.0,0.92,https://www.lingyiwanwu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True
Yi-1.5-9B-Chat,01.AI,Yi,2024-05-13,开放权重,LlamaForCausalLM,指令微调,9.0,49.9,73.1,61.2,31.1,34.4,39.0,,120000,61.0,0.54,https://www.lingyiwanwu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True
