model_name,provider,family,release_date,availability,architecture,training_paradigm,parameter_count_B,MMLU_PRO,IFEval,BBH,GPQA,MATH_Lvl_5,MuSR,chatbot_arena_elo,arena_votes,output_tokens_per_second,time_to_first_token_s,source_url,source_note,benchmark_observed,arena_observed,hardware_observed,release_year_month,collected_through,parameter_count_observed,chatbot_arena_elo_observed,hardware_metrics_observed,MMLU_PRO_norm,IFEval_norm,BBH_norm,GPQA_norm,MATH_Lvl_5_norm,MuSR_norm,Average_Score,Average_Score_norm,Elo_norm,Composite_Score,Score_per_Billion_Params,Hardware_Pareto_Index
Gemini 1.5 Pro,Google,Gemini,2024-02-15,API/闭源,ClosedAPI,原生预训练,,70.5,86.8,77.4,55.2,58.8,59.5,1392.0,1600000,39.0,0.63,https://blog.google/technology/ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-02,2026-06-05,False,True,True,0.7591463414634145,0.8285714285714282,0.7410071942446047,0.6515513126491648,0.551470588235294,0.7084548104956268,68.03,0.7045660719685517,0.7846153846153846,0.745,,0.725
Claude 3 Opus,Anthropic,Claude,2024-03-04,API/闭源,ClosedAPI,原生预训练,,70.6,86.8,77.6,53.9,57.1,59.3,1395.0,910000,32.0,0.84,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.7621951219512192,0.8285714285714282,0.7482014388489209,0.6205250596658711,0.520220588235294,0.7026239067055392,67.55,0.6900514061082552,0.7961538461538461,0.741,,0.794
Claude 3 Sonnet,Anthropic,Claude,2024-03-04,API/闭源,ClosedAPI,原生预训练,,64.8,83.1,72.7,45.4,48.2,52.1,1326.0,770000,58.0,0.42,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.5853658536585363,0.6523809523809518,0.5719424460431657,0.41766109785202865,0.35661764705882354,0.49271137026239065,61.05,0.4934986392500756,0.5307692307692308,0.522,,0.692
Command R,Cohere,Command,2024-03-11,API/闭源,CommandRForCausalLM,原生预训练,35.0,57.5,78.6,67.9,37.1,39.6,46.9,1302.0,240000,26.0,0.82,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,True,True,True,0.3628048780487804,0.43809523809523754,0.3992805755395687,0.2195704057279237,0.19852941176470587,0.34110787172011653,54.6,0.2984578167523437,0.43846153846153846,0.361,1.56,0.995
Claude 3 Haiku,Anthropic,Claude,2024-03-13,API/闭源,ClosedAPI,原生预训练,,58.2,79.4,68.5,37.2,39.8,46.5,1265.0,620000,96.0,0.27,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.38414634146341464,0.47619047619047616,0.42086330935251814,0.22195704057279247,0.2022058823529411,0.32944606413994165,54.93,0.30843664953129735,0.29615384615384616,0.321,,0.72
Kimi Chat,Moonshot AI,Kimi,2024-03-18,API/闭源,ClosedAPI,长上下文,,63.0,83.0,72.5,44.0,47.6,54.0,1342.0,410000,35.0,0.73,https://www.moonshot.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.5304878048780487,0.6476190476190473,0.5647482014388491,0.3842482100238664,0.34558823529411764,0.5481049562682215,60.68,0.4823102509827639,0.5923076923076923,0.537,,0.84
Command R+,Cohere,Command,2024-04-04,API/闭源,CommandRForCausalLM,原生预训练,104.0,63.5,82.1,72.0,45.6,49.5,52.8,1355.0,270000,18.0,1.1,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-04,2026-06-05,True,True,True,0.5457317073170731,0.6047619047619042,0.5467625899280577,0.42243436754176616,0.38051470588235287,0.5131195335276967,60.92,0.48956758391291216,0.6423076923076924,0.555,0.586,0.98
Mixtral 8x22B,Mistral AI,Mistral,2024-04-17,开放权重,MixtralForCausalLM,MoE/模型融合,141.0,62.5,82.5,71.8,43.3,47.7,52.9,1308.33,190000,12.5,1.96,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-04,2026-06-05,True,False,True,0.5152439024390243,0.6238095238095236,0.5395683453237411,0.3675417661097852,0.3474264705882353,0.5160349854227404,60.12,0.46537647414575145,0.46280769230769203,0.48,0.426,1.179
Llama 3 70B,Meta,Llama,2024-04-18,开放权重,LlamaForCausalLM,指令微调,70.0,60.6,80.5,70.4,40.6,43.5,49.4,1322.0,760000,19.0,1.42,https://ai.meta.com/blog/meta-llama-3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-04,2026-06-05,True,True,True,0.45731707317073167,0.5285714285714282,0.4892086330935255,0.30310262529832943,0.2702205882352941,0.41399416909620984,57.5,0.3861505896583007,0.5153846153846153,0.446,0.821,1.05
Llama 3 8B,Meta,Llama,2024-04-18,开放权重,LlamaForCausalLM,指令微调,8.0,49.8,72.8,61.2,30.4,28.8,39.5,1225.0,520000,64.0,0.55,https://ai.meta.com/blog/meta-llama-3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-04,2026-06-05,True,True,True,0.12804878048780474,0.1619047619047615,0.15827338129496424,0.05966587112171838,0.0,0.1253644314868804,47.08,0.07106138494103421,0.1423076923076923,0.105,5.885,0.972
DeepSeek V2,DeepSeek,DeepSeek,2024-05-07,开放权重,DeepseekForCausalLM,MoE/模型融合,236.0,67.8,84.1,74.5,49.1,55.8,56.6,1388.0,410000,10.2,2.3,https://www.deepseek.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,True,True,True,0.6768292682926828,0.6999999999999995,0.6366906474820145,0.5059665871121719,0.4963235294117646,0.6239067055393586,64.65,0.6023586332022984,0.7692307692307693,0.671,0.274,1.139
DeepSeek V2 Lite,DeepSeek,DeepSeek,2024-05-07,开放权重,DeepseekForCausalLM,MoE/模型融合,16.0,55.2,77.3,66.4,37.9,42.6,46.1,1287.0,280000,49.5,0.69,https://www.deepseek.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,True,True,True,0.2926829268292683,0.3761904761904758,0.3453237410071946,0.23866348448687352,0.2536764705882353,0.3177842565597668,54.25,0.28787420622921084,0.38076923076923075,0.329,3.391,0.861
Yi-1.5-34B-Chat,01.AI,Yi,2024-05-13,开放权重,LlamaForCausalLM,指令微调,34.0,55.8,78.4,67.0,37.6,41.0,45.8,1281.43,100000,29.0,0.92,https://www.lingyiwanwu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-05,2026-06-05,True,False,True,0.3109756097560974,0.42857142857142855,0.36690647482014405,0.2315035799522674,0.2242647058823529,0.30903790087463545,54.27,0.28847898397338995,0.3593461538461541,0.327,1.596,1.025
Yi-1.5-9B-Chat,01.AI,Yi,2024-05-13,开放权重,LlamaForCausalLM,指令微调,9.0,49.9,73.1,61.2,31.1,34.4,39.0,1234.58,120000,61.0,0.54,https://www.lingyiwanwu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-05,2026-06-05,True,False,True,0.13109756097560965,0.17619047619047565,0.15827338129496424,0.0763723150357996,0.10294117647058819,0.11078717201166173,48.12,0.10250982763834293,0.17915384615384589,0.137,5.347,0.953
GPT-4o,OpenAI,GPT-o,2024-05-13,API/闭源,ClosedAPI,原生预训练,,73.2,89.2,80.5,59.4,62.1,63.0,1425.0,2300000,52.0,0.38,https://openai.com/index/hello-gpt-4o/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,False,True,True,0.8414634146341463,0.9428571428571427,0.8525179856115109,0.7517899761336516,0.6121323529411764,0.8104956268221574,71.23,0.801330511037194,0.9115384615384615,0.854,,0.57
Gemini 1.5 Flash,Google,Gemini,2024-05-14,API/闭源,ClosedAPI,原生预训练,,61.5,82.2,70.6,42.5,45.8,49.9,1296.0,780000,104.0,0.28,https://blog.google/technology/ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,False,True,True,0.4847560975609755,0.6095238095238094,0.4964028776978417,0.3484486873508354,0.3124999999999999,0.4285714285714285,58.75,0.42394919866948905,0.4153846153846154,0.44,,0.59
Mistral 7B v0.3,Mistral AI,Mistral,2024-05-22,开放权重,MistralForCausalLM,指令微调,7.3,47.2,72.8,59.4,28.7,29.4,37.8,1219.0,430000,74.0,0.41,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-05,2026-06-05,True,True,True,0.048780487804878085,0.1619047619047615,0.09352517985611516,0.0190930787589499,0.011029411764705841,0.07580174927113686,45.88,0.034774720290293486,0.11923076923076924,0.077,6.285,0.951
GLM-4-9B-Chat,Zhipu AI,GLM,2024-06-05,开放权重,ChatGLMForCausalLM,指令微调,9.0,54.1,77.4,65.9,35.1,39.9,43.9,1275.0,200000,59.0,0.57,https://www.zhipuai.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,True,True,True,0.2591463414634146,0.38095238095238093,0.32733812949640323,0.171837708830549,0.20404411764705876,0.25364431486880457,52.72,0.24160870879951624,0.3346153846153846,0.288,5.858,0.835
Qwen2 72B,Alibaba,Qwen,2024-06-07,开放权重,Qwen2ForCausalLM,指令微调,72.0,63.1,82.0,71.0,44.5,50.4,53.0,1350.0,360000,17.0,1.38,https://qwenlm.github.io/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-06,2026-06-05,True,True,True,0.5335365853658536,0.5999999999999998,0.510791366906475,0.3961813842482101,0.3970588235294117,0.5189504373177842,60.67,0.4820078621106745,0.6230769230769231,0.543,0.843,1.018
