model_name,provider,family,release_date,availability,architecture,training_paradigm,parameter_count_B,MMLU_PRO,IFEval,BBH,GPQA,MATH_Lvl_5,MuSR,chatbot_arena_elo,arena_votes,output_tokens_per_second,time_to_first_token_s,source_url,source_note,benchmark_observed,arena_observed,hardware_observed,release_year_month,collected_through,parameter_count_observed,chatbot_arena_elo_observed,hardware_metrics_observed,MMLU_PRO_norm,IFEval_norm,BBH_norm,GPQA_norm,MATH_Lvl_5_norm,MuSR_norm,Average_Score,Average_Score_norm,Elo_norm,Composite_Score,Score_per_Billion_Params,Hardware_Pareto_Index
Gemini 1.5 Pro,Google,Gemini,2024-02-15,API/闭源,ClosedAPI,原生预训练,,70.5,86.8,77.4,55.2,58.8,59.5,1392.0,1600000,39.0,0.63,https://blog.google/technology/ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-02,2026-06-05,False,True,True,0.576388888888889,0.7016129032258062,0.6094674556213021,0.411144578313253,0.5067567567567567,0.5376106194690264,68.03,0.5231252806466099,0.6496815286624203,0.585,,0.776
Claude 3 Opus,Anthropic,Claude,2024-03-04,API/闭源,ClosedAPI,原生预训练,,70.6,86.8,77.6,53.9,57.1,59.3,1395.0,910000,32.0,0.84,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.5787037037037036,0.7016129032258062,0.6153846153846153,0.39156626506024095,0.4780405405405405,0.5331858407079645,67.55,0.512348450830714,0.6592356687898089,0.583,,0.84
Claude 3 Sonnet,Anthropic,Claude,2024-03-04,API/闭源,ClosedAPI,原生预训练,,64.8,83.1,72.7,45.4,48.2,52.1,1326.0,770000,58.0,0.42,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.44444444444444436,0.5524193548387093,0.47041420118343213,0.2635542168674699,0.32770270270270274,0.3738938053097345,61.05,0.366412213740458,0.4394904458598726,0.411,,0.757
Command R,Cohere,Command,2024-03-11,API/闭源,CommandRForCausalLM,原生预训练,35.0,57.5,78.6,67.9,37.1,39.6,46.9,1302.0,240000,26.0,0.82,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,True,True,True,0.27546296296296297,0.37096774193548343,0.3284023668639056,0.1385542168674699,0.18243243243243243,0.2588495575221238,54.6,0.221598563089358,0.3630573248407643,0.286,1.56,1.04
Claude 3 Haiku,Anthropic,Claude,2024-03-13,API/闭源,ClosedAPI,原生预训练,,58.2,79.4,68.5,37.2,39.8,46.5,1265.0,620000,96.0,0.27,https://www.anthropic.com/news/claude-3-family,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.29166666666666674,0.40322580645161293,0.34615384615384626,0.14006024096385547,0.18581081081081074,0.24999999999999992,54.93,0.22900763358778634,0.24522292993630573,0.252,,0.77
Kimi Chat,Moonshot AI,Kimi,2024-03-18,API/闭源,ClosedAPI,长上下文,,63.0,83.0,72.5,44.0,47.6,54.0,1342.0,410000,35.0,0.73,https://www.moonshot.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-03,2026-06-05,False,True,True,0.4027777777777778,0.5483870967741934,0.46449704142011844,0.24246987951807228,0.31756756756756754,0.41592920353982293,60.68,0.3581050740907051,0.49044585987261147,0.423,,0.894
Command R+,Cohere,Command,2024-04-04,API/闭源,CommandRForCausalLM,原生预训练,104.0,63.5,82.1,72.0,45.6,49.5,52.8,1355.0,270000,18.0,1.1,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-04,2026-06-05,True,True,True,0.41435185185185186,0.5120967741935479,0.44970414201183445,0.266566265060241,0.3496621621621621,0.38938053097345116,60.92,0.363493488998653,0.5318471337579618,0.437,0.586,1.026
Mixtral 8x22B,Mistral AI,Mistral,2024-04-17,开放权重,MixtralForCausalLM,MoE/模型融合,141.0,62.5,82.5,71.8,43.3,47.7,52.9,1308.33,190000,12.5,1.96,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2024-04,2026-06-05,True,False,True,0.3912037037037037,0.5282258064516128,0.44378698224852076,0.23192771084337346,0.3192567567567568,0.3915929203539822,60.12,0.3455321059721599,0.3832165605095539,0.377,0.426,1.217
Llama 3 70B,Meta,Llama,2024-04-18,开放权重,LlamaForCausalLM,指令微调,70.0,60.6,80.5,70.4,40.6,43.5,49.4,1322.0,760000,19.0,1.42,https://ai.meta.com/blog/meta-llama-3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-04,2026-06-05,True,True,True,0.34722222222222227,0.44758064516129015,0.4023668639053257,0.19126506024096387,0.2483108108108108,0.3141592920353981,57.5,0.2867085765603952,0.4267515923566879,0.352,0.821,1.094
Llama 3 8B,Meta,Llama,2024-04-18,开放权重,LlamaForCausalLM,指令微调,8.0,49.8,72.8,61.2,30.4,28.8,39.5,1225.0,520000,64.0,0.55,https://ai.meta.com/blog/meta-llama-3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2024-04,2026-06-05,True,True,True,0.09722222222222213,0.13709677419354807,0.1301775147928996,0.03765060240963855,0.0,0.09513274336283178,47.08,0.05276156264032334,0.1178343949044586,0.084,5.885,0.994
